City,Sport,Discipline,Athlete Name,Country,Gender,Event,Medal
Athens,Aquatics,Swimming," HAJOS, Alfred ",HUN,Men,100M Freestyle,Gold Medal
Athens,Aquatics,Swimming," HERSCHMANN, Otto ",AUT,Men,100M Freestyle,Silver
Athens,Aquatics,Swimming," DRIVAS, Dimitrios ",GRE,Men,100M Freestyle For Sailors,Bronze
Athens,Aquatics,Swimming," Malokinis, Ioannis ",GRE,Men,100M Freestyle For Sailors,Gold Medal
Athens,Aquatics,Swimming," Chasapis, Spiridon ",GRE,Men,100M Freestyle For Sailors,Silver
Athens,Aquatics,Swimming," Chorophas, Efstathios ",GRE,Men,1200M Freestyle,Bronze
Athens,Aquatics,Swimming," Hajos, Alfred ",HUN,Men,1200M Freestyle,Gold Medal
Athens,Aquatics,Swimming," Andreou, Joannis ",GRE,Men,1200M Freestyle,Silver
Athens,Aquatics,Swimming," Chorophas, Efstathios ",GRE,Men,400M Freestyle,Bronze
Athens,Aquatics,Swimming," Neumann, Paul ",AUT,Men,400M Freestyle,Gold Medal
Athens,Aquatics,Swimming," Pepanos, Antonios ",GRE,Men,400M Freestyle,Silver
Athens,Athletics,Athletics," Lane, Francis ",USA,Men,100M,Bronze
Athens,Athletics,Athletics," Szokolyi, Alajos ",HUN,Men,100M,Bronze
Athens,Athletics,Athletics," BURKE, Thomas ",USA,Men,100M,Gold
Athens,Athletics,Athletics," HOFMANN, Fritz ",GER,Men,100M,Silver
Athens,Athletics,Athletics," CURTIS, Thomas ",USA,Men,110M Hurdles,Gold
Athens,Athletics,Athletics," GOULDING, Grantley ",GBR,Men,110M Hurdles,Silver
Athens,Athletics,Athletics," LERMUSIAUX, Albin ",FRA,Men,1500M,Bronze
Athens,Athletics,Athletics," FLACK, Edwin ",AUS,Men,1500M,Gold
Athens,Athletics,Athletics," BLAKE, Arthur ",USA,Men,1500M,Silver
Athens,Athletics,Athletics," GMELIN, Charles ",GBR,Men,400M,Bronze
Athens,Athletics,Athletics," BURKE, Thomas ",USA,Men,400M,Gold
Athens,Athletics,Athletics," JAMISON, Herbert ",USA,Men,400M,Silver
Athens,Athletics,Athletics," GOLEMIS, Dimitrios ",GRE,Men,800M,Bronze
Athens,Athletics,Athletics," FLACK, Edwin ",AUS,Men,800M,Gold
Athens,Athletics,Athletics," DANI, Nandor ",HUN,Men,800M,Silver
Athens,Athletics,Athletics," VERSIS, Sotirios ",GRE,Men,Discus Throw,Bronze
Athens,Athletics,Athletics," GARRETT, Robert ",USA,Men,Discus Throw,Gold
Athens,Athletics,Athletics," PARASKEVOPOULOS, Panagiotis ",GRE,Men,Discus Throw,Silver
Athens,Athletics,Athletics," CLARK, Ellery ",USA,Men,High Jump,Gold
Athens,Athletics,Athletics," CONNOLLY, James ",USA,Men,High Jump,Silver
Athens,Athletics,Athletics," GARRETT, Robert ",USA,Men,High Jump,Silver
Athens,Athletics,Athletics," CONNOLLY, James ",USA,Men,Long Jump,Bronze
Athens,Athletics,Athletics," CLARK, Ellery ",USA,Men,Long Jump,Gold
Athens,Athletics,Athletics," GARRETT, Robert ",USA,Men,Long Jump,Silver
Athens,Athletics,Athletics," KELLNER, Gyula ",HUN,Men,Marathon,Bronze
Athens,Athletics,Athletics," LOUIS, Spyridon ",GRE,Men,Marathon,Gold
Athens,Athletics,Athletics," VASILAKOS, Kharilaos ",GRE,Men,Marathon,Silver
Athens,Athletics,Athletics," DAMASKOS, Evangelos ",GRE,Men,Pole Vault,Bronze
Athens,Athletics,Athletics," THEODOROPOULOS, Ioannis ",GRE,Men,Pole Vault,Bronze
Athens,Athletics,Athletics," HOYT, William Welles ",USA,Men,Pole Vault,Gold
Athens,Athletics,Athletics," TYLER, Albert ",USA,Men,Pole Vault,Silver
Athens,Athletics,Athletics," PAPASIDERIS, Georgios ",GRE,Men,Shot Put,Bronze
Athens,Athletics,Athletics," GARRETT, Robert ",USA,Men,Shot Put,Gold
Athens,Athletics,Athletics," GOUSKOS, Miltiadis ",GRE,Men,Shot Put,Silver
Athens,Athletics,Athletics," PERSAKIS, Ioannis ",GRE,Men,Triple Jump,Bronze
Athens,Athletics,Athletics," CONNOLLY, James ",USA,Men,Triple Jump,Gold
Athens,Athletics,Athletics," TUFFERI, Alexandre ",FRA,Men,Triple Jump,Silver
Athens,Cycling,Cycling Road," BATTEL, Edward ",GBR,Men,Individual Road Race,Bronze
Athens,Cycling,Cycling Road," KONSTANTINIDIS, Aristidis ",GRE,Men,Individual Road Race,Gold
Athens,Cycling,Cycling Road," GOEDRICH, August ",GER,Men,Individual Road Race,Silver
Athens,Cycling,Cycling Track," FLAMENG, Léon ",FRA,Men,100KM,Gold
Athens,Cycling,Cycling Track," KOLETTIS, Georgios ",GRE,Men,100KM,Silver
Athens,Cycling,Cycling Track," SCHMAL, Adolf ",AUT,Men,10KM,Bronze
Athens,Cycling,Cycling Track," MASSON, Paul ",FRA,Men,10KM,Gold
Athens,Cycling,Cycling Track," FLAMENG, Léon ",FRA,Men,10KM,Silver
Athens,Cycling,Cycling Track," SCHMAL, Adolf ",AUT,Men,12-Hour Race,Gold
Athens,Cycling,Cycling Track," KEEPING, Frank ",GBR,Men,12-Hour Race,Silver
Athens,Cycling,Cycling Track," SCHMAL, Adolf ",AUT,Men,1KM Time Trial,Bronze
Athens,Cycling,Cycling Track," MASSON, Paul ",FRA,Men,1KM Time Trial,Gold
Athens,Cycling,Cycling Track," NIKOLOPOULOS, Stamatios ",GRE,Men,1KM Time Trial,Silver
Athens,Cycling,Cycling Track," FLAMENG, Léon ",FRA,Men,Sprint Indivual,Bronze
Athens,Cycling,Cycling Track," MASSON, Paul ",FRA,Men,Sprint Indivual,Gold
Athens,Cycling,Cycling Track," NIKOLOPOULOS, Stamatios ",GRE,Men,Sprint Indivual,Silver
